aba	546,阿巴 1050,阿爸 1050,阿爸 2786,阿坝
fusheyi	2428,辐射仪
fushezhencha	2428,辐射侦察
fushi	365,服事 426,复市 426,复式 438,复视 643,复试 643,府试 671,服食 733,富士 733,富时 764,副室 764,副食 1462,浮世 1462,浮石 1520,复驶 1604,服饰 1747,赋诗 1871,伏侍 1871,服侍 2261,俯视 2625,腐蚀 3337,拂拭 3701,氟石 6423,祓饰
fushideboshi	1462,浮士德博士
fushihui	1809,浮世绘
fushiji	2625,腐蚀剂
fushijieshi	2261,俯拾皆是
fushijishi	2261,俯拾即是
fushikang	900,富士康
fushiou	3371,弗氏鸥
fushipin	764,副食品
fushishan	733,富士山
fushitong	733,富士通
fushixing	2625,腐蚀性
fushizhang	764,副市长
fushou	764,副手 1612,扶手 1615,福寿 2261,俯首
fushouchengchen	2261,俯首称臣
fushouluo	2386,福寿螺
fushoumianchang	2186,福寿绵长
fushoutieer	2892,俯首帖耳
fushouyi	1663,扶手椅
fushu	426,复数 674,复述 674,复述 691,负数 923,附属 939,服输 1389,伏输 1693,负鼠 3016,富庶
fushuang	4368,富孀
fushui	1589,腹水 1747,赋税 5226,凫水
fushuinanshou	1823,覆水难收
fushuji	764,副书记
fushun	938,富顺 1720,抚顺
fushunshi	1720,抚顺市
fushunxian	938,富顺县 1720,抚顺县
fushuo	1887,傅说
fushupin	923,附属品
fushupingmian	426,复数平面
fushuwu	923,附属物
fushuxian	2257,附属腺
fushuxingshi	426,复数形式
fushuyu	847,复数域
fusi	683,福斯 1843,赴死
fusiling	764,副司令
fusipianpian	4674,腹笥便便
fusishenkuan	4674,腹笥甚宽
fusitafu	1030,福斯塔夫
fusite	683,福斯特
fusong	923,附送 1720,抚松
fusongxian	1720,抚松县
fusu	590,复苏 590,复苏
fusui	2791,扶绥 2791,抚绥
fusuixian	2791,扶绥县
futai	733,富态 1843,赴台
futalin	1612,扶他林
futaling	734,服他灵
futangdaohuo	2659,赴汤蹈火
futangyao	2788,敷汤药
fute	683,福特 1389,伏特
futeji	1389,伏特计
futejia	1389,伏特加
futengbao	1635,符腾堡
futeqiche	1200,福特汽车
futi	923,附体 1672,扶梯
futian	778,福田 778,福田 1389,伏天
futiankangfu	900,福田康夫
futianqu	778,福田区
futiao	2428,辐条
futie	1454,服贴 1462,浮贴 2788,敷贴 2892,服帖
futietu	779,富铁土
futing	426,复听
futong	1589,腹痛
futou	2771,斧头
futu	1462,浮图 1462,浮土 2171,浮屠
futuo	820,付托
fuwa	1833,福娃
fuwaibuxing	691,负外部性
fuwang	1823,覆亡
fuwei	426,复位 1612,扶危 1720,抚慰 1856,伏惟
fuweihui	683,福委会
fuweijikun	1612,扶危济困
fuweijin	1720,抚慰金
fuweike	683,福维克
fuwen	1205,符文 4666,讣文 4666,讣闻
fuwenben	733,富文本
fuweng	2112,富翁 2112,负翁 5226,凫翁
fuwo	1944,伏卧 2261,俯卧
fuwocheng	2261,俯卧撑
fuwu	365,服务
fuwufei	486,服务费
fuwuguizhang	539,服务规章
fuwuqi	441,服务器
fuwusheng	365,服务生
fuwushuangzhi	683,福无双至
fuwutai	388,服务台 388,服务台
fuwutigongshang	550,服务提供商
fuwutigongzhe	550,服务提供者
fuwuye	365,服务业
fuwuyuan	365,服务员
fuwuzhiliang	404,服务质量
fuxi	589,父系 676,复习 676,复习 924,复吸 1814,伏牺 3942,伏羲 6727,祓禊
fuxia	30086,乶下
fuxian	426,复现 430,复线 820,付现 877,富县 1389,伏线 1462,浮现 1747,赋闲
fuxiang	683,福相 691,负向 764,副相 1462,浮想
fuxiangguan	691,负相关
fuxianglianpian	3234,浮想联翩
fuxiao	923,附小 2623,拂晓
fuxiaomai	1462,浮小麦
fuxiaozhang	764,副校长
fuxie	448,复写 2715,腹泻
fuxiezhi	1020,复写纸
fuxin	426,复信 691,负心 3445,阜新
fuxing	531,复兴 531,复兴 683,福兴 683,福星 1087,服刑 1149,复姓 1576,腐刑 6476,茀星
fuxingdang	531,复兴党
fuxinggaozhao	683,福星高照
fuxingji	1747,赋形剂
fuxingmen	531,复兴门
fuxingqu	531,复兴区
fuxingshidai	531,复兴时代
fuxingxiang	922,复兴乡 922,福兴乡
fuxinhan	711,负心汉
fuxinshi	3445,阜新市
fuxiong	1089,父兄
fuxipan	1589,腹吸盘
fuxiqi	1247,妇洗器
fuxishi	3942,伏羲氏
fuxiu	740,复修 2033,辅修 2544,腐朽
fuxiuerqu	2623,拂袖而去
fuxu	3115,夫婿 3214,抚恤 4124,福煦
fuxuan	1462,浮选
fuxuankuang	2144,复选框
fuxue	426,复学
fuxujin	3214,抚恤金
fuxun	3759,伏汛
fuya	756,负压
fuyan	426,复眼 1462,浮岩 2155,赴宴 2788,敷演 2788,敷衍
fuyang	733,富阳 1612,扶养 1720,抚养 2261,俯仰 3445,阜阳
fuyangchengren	1720,抚养成人
fuyangdiqu	3445,阜阳地区
fuyangfei	1720,抚养费
fuyangquan	1720,抚养权
fuyangshi	733,富阳市 3445,阜阳市
fuyangwukui	2275,俯仰无愧
fuyangzhijian	2261,俯仰之间
fuyanliaoshi	2788,敷衍了事
fuyanseze	2788,敷衍塞责
fuyao	662,服药
fuyaoguoliang	662,服药过量
fuyaozhishang	1612,扶摇直上
fuye	764,副业 920,复叶 3863,扶掖
fuyi	426,复议 923,附议 1245,夫役 1245,服役 1283,服仪 1294,副翼 2033,辅以 2152,甫一
fuyiceng	699,负一层
fuyin	640,复印 683,福音 820,付印 2033,辅音 2885,府尹
fuyincao	1843,赴阴曹
fuyinci	959,复音词
fuying	1170,服硬 3783,服膺
fuyingpian	1316,复映片
fuyinji	640,复印机
fuyinjian	640,复印件
fuyinshu	683,福音书
fuyinxing	540,复音形
fuyinzhi	1020,复印纸
fuyizhang	764,副议长
fuyong	365,服用 2148,附庸
fuyongfengya	2148,附庸风雅
fuyou	691,负有 733,富有 1462,浮游 1577,妇幼 5795,蜉蝣
fuyoushengwu	1462,浮游生物
fuyouzeren	691,负有责任
fuyu	729,夫余 733,富于 733,富余 1589,腹语 1612,扶余 1720,抚育 1747,赋与 1747,赋予 2023,富裕 2023,富裕 3256,孵育 4206,扶馀 4664,馥郁 4725,扶揄
fuyuan	426,复元 426,复原 426,复员 733,富源 1444,幅员 1720,抚远
fuyuanru	1831,复原乳
fuyuansanjiaozhou	1720,抚远三角洲
fuyuanxian	877,富源县 1720,抚远县
fuyuanzhang	764,副院长
fuyue	1843,赴约
fuyuetanghuo	6061,斧钺汤镬
fuyuezhizhu	5507,斧钺之诛
fuyun	1462,浮云 2633,富蕴
fuyunmu	2501,复韵母
fuyunxian	2633,富蕴县
fuyunzhaolu	1462,浮云朝露
fuyushi	1589,腹语师
fuyushu	1589,腹语术
fuyuxian	1612,扶余县 2023,富裕县
fuyuxiangxiang	733,富于想像
fuza	853,复杂
fuzahua	853,复杂化
fuzai	977,负载
fuzao	2451,浮躁 2613,浮燥
fuzaxing	853,复杂性
fuzaxitong	853,复杂系统
fuze	691,负责 923,附则 951,福泽
fuzengzhang	691,负增长
fuzeren	691,负责人 691,负责任
fuzeyuji	2576,福泽谕吉
fuzhai	1223,负债
fuzhaileilei	1323,负债累累
fuzhang	2179,付账 5779,拊掌
fuzhao	2428,辐照
fuzhe	1462,浮着 3208,覆辙
fuzhen	1401,复诊
fuzheng	1612,扶正 2771,斧正
fuzhengshu	691,负整数
fuzhengyaxie	1612,扶正压邪
fuzhi	417,府治 426,复制 616,复职 691,负值 763,父执 1462,浮质 1612,扶植 1747,赋值 2335,附肢 4484,福祉 5774,麸质
fuzhibei	1477,父执辈
fuzhibingding	2645,付之丙丁
fuzhidongliu	820,付之东流
fuzhiduwai	820,付之度外
fuzhifugaiwu	1823,腐殖覆盖物
fuzhiji	1935,腹直肌
fuzhimu	1438,复殖目
fuzhipin	426,复制品
fuzhisuan	1576,腐殖酸
fuzhitu	1576,腐殖土
fuzhixichong	1438,复殖吸虫
fuzhixingdong	820,付之行动
fuzhiyiju	3429,付之一炬
fuzhiyitan	1299,付之一叹 1299,付之一叹
fuzhiyixiao	820,付之一笑
fuzhong	510,服众 691,负重 923,附中 1792,浮肿
fuzhongbing	1792,浮肿病
fuzhongxunlian	1022,负重训练
fuzhou	721,福州 1257,弗州 1720,抚州 2286,符咒
fuzhoushi	721,福州市 1720,抚州市
fuzhouzhang	764,副州长
fuzhu	923,附注 1021,付诸 1588,腐竹 1612,扶助 2033,辅助 3274,伏诛
fuzhuan	426,复转
fuzhuang	467,服装
fuzhuangxiu	1136,服装秀
fuzhudongliu	1021,付诸东流
fuzhuixuanyou	3776,附赘悬疣
fuzhuo	923,附着 6423,祓濯
fuzhuowu	923,附着物
fuzhuren	764,副主任
fuzhushishi	1021,付诸实施
fuzhuxi	894,副主席
fuzhuyiliao	2033,辅助医疗
fuzhuyu	2033,辅助语
fuzi	377,夫子 589,父子 923,附子 2771,斧子 3750,付梓
fuzizidao	377,夫子自道
fuzongcai	1203,副总裁
fuzongli	764,副总理
fuzongtong	764,副总统
fuzu	733,富足 1589,腹足
fuzugang	1934,腹足纲
fuzui	718,服罪 1389,伏罪
fuzuo	2081,辅佐 4669,趺坐
fuzuoyi	1887,傅作义
fuzuoyong	764,副作用
gabeng	5034,噶嘣
gabulun	3644,噶布伦
gadangpai	3644,噶当派
gaer	3644,噶尔 9006,尜儿
gaerxian	3644,噶尔县
gafei	4768,噶霏
gaga	2852,嘎嘎 3644,噶噶 4071,呷呷 9006,尜尜
gagaxiaojie	2852,嘎嘎小姐
gahawuzu	3644,噶哈巫族
gaiban	810,改版
gaibang	2606,丐帮
gaibian	350,改变 858,改编
gaibianxingxiang	350,改变形像
gaibo	965,该博 5401,赅博
gaicai	1266,盖菜
gaicefa	861,概测法
gaiceng	1052,盖层
gaichao	593,改朝
gaichaohuandai	824,改朝换代
gaicheng	350,改成 449,改称
gaici	1936,盖茨
gaicibi	1936,盖茨比
gaicuo	638,改错
gaidang	319,该当
gaidao	350,改道
gaidi	3524,溉涤
gaidiao	849,改掉
gaiding	1176,改订
gaidong	350,改动
gaidu	1052,盖度
gaier	1052,盖儿 1052,盖尔
gaierbulun	791,概而不论
gaieryanzhi	791,概而言之
gaieryu	1052,盖尔语
gaiexiangshan	792,改恶向善
gaifan	1052,盖饭
gaigao	1587,改稿
gaige	521,改革
gaigejia	521,改革家
gaigejincheng	521,改革进程
gaigejishuqi	1052,盖革计数器
gaigekaifang	521,改革开放
gaigepai	532,改革派
gaigezhe	521,改革者
gaiguan	350,改观 791,概观
gaiguandinglun	2686,盖棺定论
gaiguanlunding	2686,盖棺论定
gaiguo	350,改过
gaiguozixin	350,改过自新
gaihang	350,改行
gaihua	2951,钙化 2951,钙华
gaihuan	824,改换
gaihuanmenlv	4175,改换门闾
gaihuanmenting	931,改换门庭
gaihui	1853,改悔
gaihuoguo	2074,盖火锅
gaijia	2063,改嫁
gaijian	350,改建
gaijiaofan	2866,盖浇饭
gaijin	350,改进
gaikou	350,改口
gaikoufei	486,改口费
gaikuang	791,概况
gaikuo	850,概括 5401,赅括
gaikuohua	850,概括化
gailan	1886,概览 4002,芥兰 4002,芥蓝
gaili	1801,改隶
gailiang	835,改良
gailiangzhuyi	835,改良主义
gailun	791,概论
gailv	791,概率 1052,盖率
gailvlun	791,概率论
gaimao	1750,盖帽
gaimaoer	1750,盖帽儿
gaimen	1052,盖门
gaiming	350,改名
gainian	791,概念
gainianditu	791,概念地图
gainianhua	791,概念化
gainianyanzheng	791,概念验证
gaipai	1261,盖牌
gaipan	719,改判
gaiqi	350,改期
gaiqian	1254,改签
gairanxing	1052,盖然性
gairi	350,改日
gaishan	749,改善
gaishang	1052,盖上
gaishanguanxi	749,改善关系
gaishantongxun	1238,改善通讯
gaishi	1052,盖世
gaishitaibao	1052,盖世太保
gaishu	791,概数 791,概述
gaishui	350,改水
gaisi	319,该死
gaitaiguanggao	1052,盖台广告
gaitena	1052,盖特纳
gaitian	350,改天
gaitou	1052,盖头
gaitouhuanmian	824,改头换面
gaiwa	1195,盖瓦
gaiwan	1939,盖碗
gaiwei	350,改为
gaixia	6093,垓下
gaixian	1052,盖县
gaixianyizhe	3208,改弦易辙
gaixie	448,改写
gaixieguizheng	1539,改邪归正
gaixin	350,改信
gaixing	791,概型 791,概形
gaixinglilun	791,概型理论
gaixuan	499,改选
gaixue	350,改学
gaiya	420,该亚
gaiyana	1052,盖亚那
gaiyang	350,改样
gaiyao	791,概要
gaiye	350,改业
gaiyi	461,改易 1198,改译
gaiyin	1034,该隐 1052,盖印
gaiying	319,该应
gaiyong	350,改用
gaiyuan	370,改元
gaiyun	350,改运
gaizao	354,改造
gaize	350,改则
gaizexian	877,改则县
gaizhang	1052,盖章
gaizheng	350,改正
gaizhi	350,改制 2951,钙质
gaizhou	1052,盖州
gaizhoushi	1052,盖州市
gaizhuang	467,改装
gaizhui	3064,改锥
gaizi	1052,盖子 1781,盖兹
gaizu	358,改组
gaizui	1010,改嘴
gajupai	3644,噶举派
gala	2852,嘎啦 2852,嘎啦 3644,噶喇 3644,噶拉 5287,旮旯
galaer	5287,旮旯儿
galaha	2852,嘎拉哈
galanglang	4570,噶啷啷
gali	5879,咖喱
galiao	2729,尬聊
galifen	5879,咖喱粉
galong	3644,噶隆
galun	3644,噶伦
gama	2532,伽马
gamalan	3644,噶玛兰
gamalanzu	3644,噶玛兰族
gamashexian	2532,伽马射线
ganai	1799,肝癌
ganansuan	3028,甘氨酸
ganbaba	546,干巴巴
ganbaixiafeng	1408,甘拜下风
ganbali	1408,甘巴里
ganbang	2556,甘榜
ganbao	811,干宝
ganbei	1133,干贝 1396,干杯
ganbian	5609,干煸
ganbiandoujiao	5609,干煸豆角
ganbiansijidou	5609,干煸四季豆
ganbiantudousi	5609,干煸土豆丝
ganbie	3812,干瘪
ganbing	1070,干冰 1760,肝病
ganbiya	1408,甘比亚
ganbu	353,干部
ganbucongming	795,敢不从命
ganbuji	908,赶不及
ganbushang	908,赶不上
gancai	353,干才 952,干材 1266,干菜
gancao	789,干草 1408,甘草
ganceqi	861,感测器
ganchangcunduan	1921,肝肠寸断
ganchao	908,赶超 1302,干潮
ganche	908,赶车
gancheng	3737,杆秤
ganchu	908,赶出 1207,感触
gancui	1976,干脆
gancuililuo	1976,干脆利落
gancuilisuo	1976,干脆利索
ganda	795,敢达
gandaganchong	795,敢打敢冲
gandai	1228,感戴
gandalei	2417,干打垒
gandansi	1892,甘丹寺
gandanxiangzhao	1760,肝胆相照
gandao	243,感到 353,干道 908,赶到
gande	1408,甘德
gandeji	908,赶得及
gandeng	353,干等
gandengyan	2049,干瞪眼
gandexian	1408,甘德县
gandi	1408,甘地 2011,杆弟
gandiao	849,干掉
gandie	2004,干爹
gandong	243,感动
ganen	888,感恩
ganendaide	1228,感恩戴德
ganenjie	888,感恩节
ganentubao	888,感恩图报
ganer	353,干儿 353,干儿
ganerzi	353,干儿子
ganfa	243,感发
ganfan	935,干饭
ganfen	1268,感奋 1498,干粉 1508,感愤
ganfeng	3910,干俸
ganfu	1843,赶赴
ganga	2729,尴尬
gangao	1627,港澳
gangaoban	1627,港澳办
gangaodiqu	1627,港澳地区
gangaotai	1627,港澳台
gangba	1795,岗巴
gangban	1609,钢板
gangbaxian	1795,岗巴县
gangbei	927,港北
gangbeiqu	927,港北区
gangben	2047,冈本
gangbeng	7307,钢镚
gangbi	1188,港币 1609,钢笔 4663,刚愎
gangbian	2250,钢鞭
gangbiya	2047,冈比亚
gangbiziyong	4663,刚愎自用
gangbu	3443,港埠
gangcai	621,刚才 621,刚才 1609,钢材
gangcha	621,刚察 2231,钢叉
gangchang	1609,钢厂
gangchaxian	877,刚察县
gangchuang	1609,钢窗
gangdan	1609,钢弹
gangdang	3066,杠荡
gangdao	927,港岛 1609,钢刀 3066,杠刀
gangdiao	3066,杠掉
gangdisishan	2047,冈底斯山
gangdisishanmai	2047,冈底斯山脉
gangdu	621,刚度 927,港独 946,港督 5706,戆督
gangduola	1571,刚朵拉
gange	1695,干戈
gangfeng	3980,罡风
gangfu	927,港府 3066,杠夫
ganggan	3066,杠杆
ganggang	621,刚刚
gangganshougou	3066,杠杆收购
ganggu	927,港股
gangguan	1609,钢管
gangguanwu	1609,钢管舞
ganggui	1883,钢轨 3066,杠龟
gangguo	621,刚果
gangguohe	621,刚果河
ganggushuini	1609,钢骨水泥
ganghao	621,刚好
ganghua	1609,钢花
ganghuaboli	1894,钢化玻璃
gangji	1934,纲纪
gangjia	846,刚架
gangjian	979,刚健 1609,钢箭
gangjiao	3394,肛交
gangjiaosuo	927,港交所
gangjin	2252,钢筋
gangjing	927,港警 927,港警 1358,刚劲 3066,杠精
gangjinhunningtu	2252,钢筋混凝土
gangjinshuini	2252,钢筋水泥
gangju	3078,钢锯
gangjumuzhang	1934,纲举目张
gangkou	927,港口
gangkouchengshi	927,港口城市
gangkouqu	927,港口区
gangkui	3030,钢盔
ganglan	2821,钢缆
gangliang	1609,钢梁
ganglie	802,刚烈
gangling	1934,纲领 3066,杠铃
ganglonghangkong	927,港龙航空
ganglou	1795,岗楼
gangmao	623,刚毛
gangmen	3394,肛门
gangmenzhichang	3394,肛门直肠
gangnan	927,港南
gangnanqu	927,港南区
gangong	908,赶工 3772,甘汞
gangpi	3788,钢坯
gangpianqin	1701,钢片琴
gangpu	927,港普
gangqian	5894,钢钎
gangqiang	621,刚强 1609,钢枪
gangqiao	1219,刚巧
gangqin	1701,钢琴
gangqinjia	1701,钢琴家
gangqinshi	1701,钢琴师
gangqinyanzou	1701,钢琴演奏
gangqu	927,港区 927,港区
gangquan	1609,钢圈
gangquchi	1609,钢曲尺
gangquguoanfa	927,港区国安法
gangren	927,港人
gangrenboqi	1795,岗仁波齐 2047,冈仁波齐
gangrenboqifeng	2047,冈仁波齐峰
gangroubingji	1573,刚柔并济
gangshan	2047,冈山
gangshang	3066,杠上
gangshangji	2047,冈上肌
gangshanqu	2047,冈山区
gangshanxian	2047,冈山县
gangshanzhen	2047,冈山镇
gangshao	2383,岗哨
gangshen	927,港深
gangsi	1609,钢丝
gangsiju	3078,钢丝锯
gangsisheng	1983,钢丝绳
gangtai	927,港台
gangti	621,刚体
gangtian	2047,冈田
gangtiao	1609,钢条
gangtie	927,港铁 1609,钢铁
gangtiechang	1609,钢铁厂
gangtiegongye	1609,钢铁工业
gangtiexia	1609,钢铁侠
gangtiexueyuan	1609,钢铁学院
gangting	2002,岗亭
gangtizhuandong	621,刚体转动
gangtou	3066,杠头
gangtougangnao	5706,戆头戆脑
gangu	1408,甘谷
ganguan	432,感官
ganguang	290,感光
ganguo	353,干果 6530,坩埚
ganguxian	1408,甘谷县
gangwan	927,港湾 1662,港弯
gangwei	1795,岗位
gangwuju	927,港务局
gangxiaji	2047,冈下肌
gangxing	621,刚性
gangyao	1934,纲要
gangyi	621,刚一 1946,刚毅
gangyimune	3916,刚毅木讷
gangyingzhengfu	927,港英政府
gangyu	1001,刚玉
gangyuan	927,港元
gangyuqi	3394,肛欲期
gangzha	3280,港闸
gangzhaqu	3280,港闸区
gangzheng	621,刚正
gangzhengbue	621,刚正不阿
gangzhi	621,刚直 1609,钢制
gangzhu	1609,钢珠 1691,钢柱
gangzhuao	1627,港珠澳
gangzhuaodaqiao	1627,港珠澳大桥
gangzi	3066,杠子
ganhan	2523,干旱
ganhantu	2523,干旱土
ganhao	487,干号 3241,干嚎
ganhe	3865,干涸
ganhua	243,感化 353,干话
ganhuai	762,感怀
ganhuayuan	338,感化院
ganhuo	353,干活 818,干货 1760,肝火
ganhuoer	353,干活儿
ganji	710,感激 908,赶集
ganjia	846,干架
ganjiang	353,干将 2394,干姜 3301,赣江
ganjiao	908,赶脚
ganjibujin	710,感激不尽
ganjin	908,赶紧 1358,干劲
ganjing	687,干警 1377,干净
ganjingliluo	1377,干净利落 3564,干净俐落
ganjingziqu	1431,甘井子区
ganjinshajue	908,赶尽杀绝
ganjitiling	3006,感激涕零
ganju	2509,甘菊 4276,柑橘
ganjue	327,感觉
ganjuedao	327,感觉到
ganjueqi	441,感觉器
ganjueqiguan	441,感觉器官
ganjujiang	4276,柑橘酱
ganjun	2011,杆菌
gankai	2208,感慨
gankao	908,赶考
ganke	1972,干渴
ganku	1408,甘苦 2188,干枯
gankuai	908,赶快
gankui	2275,感愧 4423,感喟
ganlai	908,赶来
ganlan	1408,甘蓝 3607,橄榄
ganlancai	1408,甘蓝菜
ganlangtou	1186,赶浪头
ganlanlv	3607,橄榄绿
ganlanqiu	3607,橄榄球
ganlanshan	3607,橄榄山
ganlanshi	3607,橄榄石
ganlanshu	3607,橄榄树
ganlanyan	3607,橄榄岩
ganlanyou	3607,橄榄油
ganlanzhi	3607,橄榄枝
ganlao	3667,干酪
ganlaosu	3667,干酪素
ganlian	1005,干练
ganliang	1303,干粮
ganliangdai	1310,干粮袋
ganlie	1317,干裂
ganliu	396,干流 4700,干馏
ganlu	908,赶路
ganluchun	2560,甘露醇
ganluo	1408,甘洛
ganluoxian	1408,甘洛县
ganlutangchun	2560,甘露糖醇
ganma	353,干么 453,干吗 750,干妈 1628,干嘛
ganmang	908,赶忙
ganmao	1222,感冒
ganmaoyao	1222,感冒药
ganmeizi	1159,干梅子
ganmianzhang	5469,擀面杖
ganminger	908,赶明儿
gannadou	1793,甘纳豆
gannaidi	7986,甘迺迪
gannan	1408,甘南
gannanxian	1408,甘南县
gannanzhou	1408,甘南州
gannao	2794,干挠
gannaotudi	1760,肝脑涂地
gannaxu	1408,甘纳许
gannian	477,感念
ganniang	881,干娘
gannver	353,干女儿
ganou	2855,干呕
ganpao	908,赶跑
ganpei	1507,感佩
ganqianbuganhou	908,赶前不赶后
ganqing	243,感情 795,敢情
ganqingyongshi	243,感情用事
ganqu	2315,干渠
ganquan	1641,甘泉
ganquanxian	1641,甘泉县
ganqun	570,干群
ganran	1141,感染
ganranli	1141,感染力
ganranlv	1141,感染率
ganranrenshu	1141,感染人数
ganranxingfuxie	2715,感染性腹泻
ganranzhe	1141,感染者
ganrao	1483,干扰
ganraosu	1483,干扰素
ganren	243,感人
ganse	2836,干涩
ganshang	660,感伤 908,赶上
ganshe	1239,干涉
ganshenme	353,干什么
gansheyi	1283,干涉仪
ganshi	353,干事 1517,干尸 4999,矸石
ganshimao	3149,赶时髦
ganshizhang	353,干事长
ganshou	243,感受 1841,干瘦
ganshouji	353,干手机
ganshouqi	441,感受器
ganshu	3363,甘薯
ganshuang	2378,干爽
ganshui	5880,泔水
gansidui	795,敢死队
gansu	1518,甘肃
gansuliuying	2902,甘肃柳莺
gansusheng	1518,甘肃省
gantan	1299,感叹
gantanci	1299,感叹词
gantang	1760,肝糖 5685,肝醣
gantangchun	2560,甘糖醇
gantanhao	1299,感叹号
gantanju	1299,感叹句
gantanyu	1299,感叹语
gantian	2020,甘甜
gantiandongdi	243,感天动地
gantongshenshou	243,感同身受
gantou	1077,干透 2934,竿头
gantuoke	1408,甘托克
ganwang	908,赶往
ganwei	795,敢为 1408,甘味
ganweiji	1546,甘味剂
ganweiliao	1408,甘味料
ganweirenxian	795,敢为人先
ganwu	1668,感悟
ganwunv	353,干物女
ganxi	353,干系 1247,干洗
ganxian	430,干线 3301,赣县
ganxiang	243,感想
ganxiao	353,干笑 633,干校
ganxibao	1341,干细胞
ganxichong	1760,肝吸虫
ganxie	897,感谢
ganxin	1408,甘心
ganxing	243,感性
ganxinggongxue	243,感性工学
ganxingqu	1065,感兴趣
ganxingrenshi	340,感性认识
ganxinqingyuan	1408,甘心情愿
ganxiu	1082,干休
ganxuan	4067,干癣
ganyan	1760,肝炎
ganyang	1337,赶羊
ganyanmiyu	2014,甘言蜜语
ganyanzheng	1258,干眼症
ganyazishangjia	2133,赶鸭子上架
ganye	920,干叶
ganyi	725,干衣 3132,干邑
ganying	243,感应
ganyingchaomei	908,赶英超美
ganyinghua	1760,肝硬化
ganyingqi	441,感应器
ganyingxianquan	1366,感应线圈
ganyou	1408,甘油
ganyouquan	4793,甘油醛
ganyousanzhi	2206,甘油三脂 4412,甘油三酯
ganyoushuanji	2938,甘油栓剂
ganyu	353,干与 647,干预 795,敢于 899,感遇 1408,甘于 3301,赣榆 3301,赣语
ganyuan	1408,甘愿
ganyue	7236,干哕
ganyushi	906,感遇诗
ganyuxian	3301,赣榆县
ganzang	1760,肝脏
ganzao	908,赶早 2613,干燥
ganzaoji	2613,干燥剂 2613,干燥机
ganzhang	1712,干仗
ganzhao	1214,感召
ganzhaoji	657,干着急
ganzhaoli	1214,感召力
ganzhe	3945,甘蔗
ganzheng	373,干证
ganzhezha	3945,甘蔗渣
ganzhi	243,感知 404,感质 437,干支
ganzhili	243,感知力
ganzhiruyi	5355,甘之如饴
ganzhou	1408,甘州 3301,赣州
ganzhoudiqu	3301,赣州地区
ganzhouqu	1408,甘州区
ganzhoushi	3301,赣州市
ganzi	2011,杆子 2011,杆子 2934,竿子 3150,甘孜 4999,矸子
ganzixian	3150,甘孜县
ganzizhou	3150,甘孜州
ganzou	908,赶走
ganzuogandang	795,敢作敢当 795,敢做敢当
ganzuoganwei	795,敢作敢为
gaoai	2027,高矮
gaoaipangshou	2027,高矮胖瘦
gaoan	232,高安 971,高岸
gaoang	1952,高昂
gaoanshengu	1095,高岸深谷
gaoanshi	254,高安市
gaoao	1960,高傲
gaoba	4222,镐把
gaobadu	451,高八度
gaobai	310,告白
gaobang	769,高帮
gaobaozhen	266,高保真
gaobeidian	2203,高碑店
gaobeidianshi	2203,高碑店市
gaoben	1587,稿本 6044,藁本
gaobenhan	711,高本汉
gaobian	310,告便
gaobie	310,告别
gaobieshi	310,告别式
gaobige	1559,高逼格
gaobing	2413,糕饼
gaobudong	1211,搞不懂
gaobuhao	1146,搞不好
gaobukepan	2439,高不可攀
gaocai	235,高才 952,高材
gaocaisheng	235,高才生 952,高材生
gaocan	507,高参
gaocao	6044,藁草
gaoceng	699,高层
gaocengjianzhu	1130,高层建筑
gaocenglvguan	1011,高层旅馆
gaocengyun	699,高层云
gaocengzhixingyuan	763,高层执行员
gaochan	159,高产
gaochang	1252,高唱 2592,高敞
gaochangruyun	1252,高唱入云
gaochao	754,高超 1302,高潮
gaochaodieqi	3018,高潮迭起
gaochayongzhuang	2607,高叉泳装
gaocheng	314,高程 6044,藁城
gaochengqu	6044,藁城区
gaochengshenchi	1709,高城深池
gaochengshi	6044,藁城市
gaochou	2005,稿酬
gaochu	134,高出 206,高处 3029,高矗
gaochubushenghan	1297,高处不胜寒
gaochui	1390,告吹
gaochun	3147,高淳
gaochunxian	3147,高淳县
gaoci	183,高次 1469,告辞
gaocunzhengyan	2559,高村正彦
gaocuo	1146,搞错
gaoda	134,高大 289,高达 289,高达
gaodang	1787,高档
gaodangfuzhuang	1787,高档服装
gaodao	2659,高蹈
gaodashang	134,高大上
gaodena	684,高德纳
gaodeng	158,高等
gaodengdaishu	231,高等代数
gaodengfayuan	338,高等法院
gaodengjiaoyu	609,高等教育
gaodengxuexiao	633,高等学校
gaodi	134,高地 592,高低 1440,高迪
gaodian	2413,糕点
gaodiao	400,高调
gaodibujiu	592,高低不就
gaodichao	1302,高低潮
gaodigang	3066,高低杠
gaoding	1146,搞定
gaodu	184,高度
gaoduan	567,高段 916,高端
gaoe	936,高额
gaoer	310,告儿
gaoerchake	564,高尔察克
gaoerfu	377,高尔夫
gaoerfuqiu	628,高尔夫球
gaoerfuqiuchang	628,高尔夫球场
gaoerji	280,高尔基
gaoerjiti	220,高尔机体 280,高尔基体
gaofa	134,高发 310,告发
gaofan	237,高反
gaofang	1259,高仿 2673,膏方
gaofarenqun	570,高发人群
gaofei	347,高飞 347,高飞 1587,稿费
gaofeiyuanzou	386,高飞远走
gaofen	134,高分
gaofenbianlv	1910,高分辨率
gaofendineng	592,高分低能
gaofeng	1473,高峰
